instant,Day.Of.Week,target
1576,1,2925
1577,2,4587
1578,3,4731
1579,4,4831
1580,5,4162
1581,6,3726
1582,7,2458
1583,1,3266
1584,2,5016
1585,3,4732
1586,4,4938
1587,5,5033
1588,6,4114
1589,7,2780
1590,1,4205
1591,2,4983
1592,3,5182
1593,4,5316
1594,5,5021
1595,6,4230
1596,7,2743
1597,1,3890
1598,2,5575
1599,3,5732
1600,4,5402
1601,5,5069
1602,6,4222
1603,7,2864
1604,1,3598
1605,2,5366
1606,3,5427
1607,4,5667
1608,5,5517
1609,6,4420
1610,7,3150
1611,1,4264
1612,2,6569
1613,3,6145
1614,4,5743
1615,5,5512
1616,6,4127
1617,7,3309
1618,1,3761
1619,2,5592
1620,3,6100
1621,4,6208
1622,5,5730
1623,6,4372
1624,7,3378
1625,1,4367
1626,2,6318
1627,3,6431
1628,4,5919
1629,5,5668
1630,6,4581
1631,7,3383
1632,1,4311
1633,2,6357
1634,3,6092
1635,4,5772
1636,5,5861
1637,6,4600
1638,7,3390
1639,1,4099
1640,2,6240
1641,3,5871
1642,4,6381
1643,5,5853
1644,6,4425
1645,7,2961
1646,1,4008
1647,2,5830
1648,3,6089
1649,4,5800
1650,5,5431
1651,6,4560
1652,7,3256
1653,1,4156
1654,2,6060
1655,3,6191
1656,4,6678
1657,5,6167
1658,6,4441
1659,7,3243
1660,1,4260
1661,2,6078
1662,3,6824
1663,4,6621
1664,5,6231
1665,6,4776
1666,7,3148
1667,1,4357
1668,2,6794
1669,3,6688
1670,4,6570
1671,5,6113
1672,6,4856
1673,7,3401
1674,1,4551
1675,2,6614
1676,3,7019
1677,4,6643
1678,5,5398
1679,6,4323
1680,7,3546
1681,1,4312
1682,2,6363
1683,3,6797
1684,4,7144
1685,5,6555
1686,6,5400
1687,7,3710
1688,1,4788
1689,2,6232
1690,3,6093
1691,4,6117
1692,5,6274
1693,6,4774
1694,7,3437
1695,1,4330
1696,2,5902
1697,3,6064
1698,4,5709
1699,5,5596
1700,6,4498
1701,7,3258
1702,1,3571
1703,2,5677
1704,3,5534
1705,4,5391
1706,5,5043
1707,6,3993
1708,7,2565
1709,1,3369
1710,2,4993
1711,3,4728
1712,4,4963
1713,5,4637
1714,6,3694
1715,7,2460
1716,1,3006
1717,2,3992
1718,3,4960
1719,4,4376
1720,5,4143
1721,6,3359
1722,7,2218
1723,1,2768
1724,2,3967
1725,3,4501
1726,4,3973
1727,5,4259
1728,6,3181
1729,7,2170
1730,1,2810
1731,2,4420
1732,3,4793
1733,4,4410
1734,5,4076
1735,6,3287
1736,7,2176
1737,1,2516
1738,2,4142
1739,3,4225
1740,4,4162
1741,5,3716
1742,6,3333
1743,7,1918
1744,1,2344
1745,2,3691
1746,3,4035
1747,4,3939
1748,5,3738
1749,6,2846
1750,7,1733
1751,1,2184
1752,2,3512
1753,3,3675
1754,4,3831
1755,5,2801
1756,6,2552
1757,7,1950
1758,1,2110
1759,2,4303
1760,3,3883
1761,4,4244
1762,5,3765
1763,6,3286
1764,7,1851
1765,1,2580
1766,2,4140
1767,3,4076
1768,4,4141
1769,5,3898
1770,6,3027
1771,7,1831
1772,1,2282
1773,2,4138
1774,3,4049
1775,4,4272
1776,5,4089
1777,6,3277
1778,7,1954
1779,1,2111
1780,2,3625
1781,3,4415
1782,4,3854
1783,5,4114
1784,6,3492
1785,7,1849
1786,1,2239
1787,2,3976
1788,3,4061
1789,4,3702
1790,5,3622
1791,6,3039
1792,7,1848
1793,1,2082
1794,2,3807
1795,3,3993
1796,4,3567
1797,5,3484
1798,6,2994
1799,7,1793
1800,1,2422
1801,2,4070
1802,3,3987
1803,4,3355
1804,5,2925
1805,6,3010
1806,7,1896
1807,1,2501
1808,2,3851
1809,3,4403
1810,4,4627
1811,5,4221
1812,6,3025
1813,7,1998
1814,1,2297
1815,2,3192
1816,3,4087
1817,4,4787
1818,5,4483
1819,6,3571
1820,7,2263
1821,1,2948
1822,2,4521
1823,3,4563
1824,4,4598
1825,5,4603
1826,6,3349
1827,7,2437
1828,1,3188
1829,2,5291
1830,3,5477
1831,4,5257
1832,5,5000
1833,6,3890
1834,7,2654
1835,1,3656
1836,2,5223
1837,3,5276
1838,4,5476
1839,5,5196
1840,6,4052
1841,7,2635
1842,1,4076
1843,2,5167
1844,3,4972
1845,4,5143
1846,5,4753
1847,6,3795
1848,7,2920
1849,1,3950
1850,2,5493
1851,3,5652
1852,4,5617
1853,5,5234
1854,6,4118
1855,7,2863
1856,1,4032
1857,2,5476
1858,3,5542
1859,4,5340
1860,5,5388
1861,6,4309
1862,7,3117
1863,1,4234
1864,2,5698
1865,3,5721
1866,4,6018
1867,5,5563
